Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
SBZAZAJJ,SBICUGKX,THE STANDARD BANK OF SOUTH AFRICA,STANBIC BANK UGANDA LIMITED,Uganda,UG,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICZMLX,THE STANDARD BANK OF SOUTH AFRICA,STANBIC BANK ZAMBIA LIMITED,Zambia,ZM,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICZWHX,THE STANDARD BANK OF SOUTH AFRICA,STANBIC BANK ZIMBABWE LIMITED,Zimbabwe,ZW,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICNGLX,THE STANDARD BANK OF SOUTH AFRICA,STANBIC IBTC BANK PLC,Nigeria,NG,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICMUMU,THE STANDARD BANK OF SOUTH AFRICA,STANDARD BANK (MAURITIUS) LIMITED,Mauritius,MU,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICAOLU,THE STANDARD BANK OF SOUTH AFRICA,STANDARD BANK DE ANGOLA S.A.,Angola,AO,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICMWMX,THE STANDARD BANK OF SOUTH AFRICA,STANDARD BANK LIMITED - MALAWI,Malawi,MW,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBNMNANX,THE STANDARD BANK OF SOUTH AFRICA,STANDARD BANK NAMIBIA LIMITED,Namibia,NA,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICCDKX,THE STANDARD BANK OF SOUTH AFRICA,STANDARD BANK RDC SARL,Congo,CD,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICMZMX,THE STANDARD BANK OF SOUTH AFRICA,STANDARD BANK SARL,Mozambique,MZ,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICSZMX,THE STANDARD BANK OF SOUTH AFRICA,STANDARD BANK SWZILAND LTD,Swaziland,SZ,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBICLSMX,THE STANDARD BANK OF SOUTH AFRICA,STANDARD LESOTHO BANK LTD.,Lesotho,LS,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SBZAZAJJ,SBZAZAJJ,THE STANDARD BANK OF SOUTH AFRICA,THE STANDARD BANK OF SOUTH AFRICA,South Africa,ZA,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,SWIFTFMMBusiness@mail.standardbank.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://corporateandinvestment.standardbank.com/CIB/Products/Transactional-Services/SWIFT-for-Corporates
SCBLGB2L,SCBLBHBM,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Bahrain,BH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLBDDX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Bangladesh,BD,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCHBBWGX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Botswana,BW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLBNBB,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Brunei Darussalam,BN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLHKHH,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLINBB,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,India,IN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLIDJX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLMOMX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Macau,MO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLMYKX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLMUMU,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Mauritius,MU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLOMRX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Oman,OM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLPHMM,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Philippines,PH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLQAQX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Qatar,QA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLSGSG,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLZAJJ,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,South Africa,ZA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLLKLX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Sri Lanka,LK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLAEAD,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,United Arab Emirates,AE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLUS33,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLVNVX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Vietnam,VN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLZWHX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK,Zimbabwe,ZW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLCNSX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK (CHINA),China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLPKKX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK (PAKISTAN),Pakistan,PK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLTWTP,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK (TAIWAN),Taiwan,TW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLTHBX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK (THAI) PLC,Thailand,TH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLCMCX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK CAMEROON,Cameroon,CM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLCIAB,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK COTE,Ivory Coast,CI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLGMGM,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK GAMBIA LTD,Gambia,GM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLGHAC,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK GHANA,Ghana,GH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLKENX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK KENYA,Kenya,KE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLKRSE,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK KOREA,Korea,KR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLGB2L,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK LIMITED,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLNPKA,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK NEPAL,Nepal,NP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLNGLA,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK NIGERIA LTD,Nigeria,NG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLLBBE,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK SAL,Lebanon,LB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLSLFR,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK SIERRA,Sierra Leone,SL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLTZTX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK TANZANIA,Tanzania,TZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLUGKA,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK UGANDA LTD,Uganda,UG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLZMLX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED BANK ZAMBIA LTD,Zambia,ZM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLJOAX,STANDARD CHARTERED BANK LIMITED,STANDARD CHARTERED GRINDLAYS BANK,Jordan,JO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLJPJT,STANDARD CHARTERED BANK LIMITED,THE STANDARD CHARTERED BANK,Japan,JP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLGB2L,STANDARD CHARTERED BANK LIMITED,Standard Chartered Bank,Afghanistan,AF,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SCBLGB2L,SCBLGB2L,STANDARD CHARTERED BANK LIMITED,Standard Chartered Bank,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://wholesalebanking.standardchartered.com/en/capabilities/transactionbanking/clientaccess/Pages/swift4corporates.aspx
SETCPHMM,SETCPHMM,Security Bank Corporation,Security Bank Corporation,Philippines,PH,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,ecortes@securitybank.com.ph,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.securitybank.com.ph
SHBKKRSE,SHBKINBB,SHINHAN BANK,SHINHAN BANK,India,IN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKCATT,SHINHAN BANK,SHINHAN BANK,Canada,CA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKSGSG,SHINHAN BANK,"SHINHAN BANK , SINGAPORE",Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKUS6L,SHINHAN BANK,SHINHAN BANK AMERICA,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKUS33,SHINHAN BANK,SHINHAN BANK AMERICA,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKDEFF,SHINHAN BANK,SHINHAN BANK EUROPE GMBH,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKJPJX,SHINHAN BANK,SHINHAN BANK JAPAN,Japan,JP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
